iteration, site, a, i, value
6, 1, 4, 0, 4.882768282794671e-18
6, 2, 1, 0, -5.742411204347408e-27
6, 2, 2, 0, 1.640674157832736e-27
6, 2, 3, 0, -0.07233966323887504
6, 2, 4, 0, 4.882768282794671e-18
6, 3, 1, 0, -5.742411204347408e-27
6, 3, 2, 0, 1.640674157832736e-27
6, 3, 3, 0, -0.07233966323887504
6, 3, 4, 0, 4.882768282794671e-18
6, 4, 1, 0, -5.742411204347408e-27
6, 4, 2, 0, 1.640674157832736e-27
6, 4, 3, 0, -0.07233966323887504
6, 4, 4, 0, 4.882768282794671e-18
7, 0, 1, 0, 1.0990292594065305e-26
7, 0, 2, 0, 5.932886629502249e-27
7, 0, 3, 0, -0.08927114787465554
7, 0, 4, 0, 1.13801245417782e-17
7, 1, 1, 0, 1.0990292594065305e-26
7, 1, 2, 0, 5.932886629502249e-27
7, 1, 3, 0, -0.08927114787465554
7, 1, 4, 0, 1.13801245417782e-17
7, 2, 1, 0, 1.0990292594065305e-26
7, 2, 2, 0, 5.932886629502249e-27
7, 2, 3, 0, -0.08927114787465554
7, 2, 4, 0, 1.13801245417782e-17
7, 3, 1, 0, 1.0990292594065305e-26
7, 3, 2, 0, 5.932886629502249e-27
7, 3, 3, 0, -0.08927114787465554
7, 3, 4, 0, 1.13801245417782e-17
7, 4, 1, 0, 1.0990292594065305e-26
7, 4, 2, 0, 5.932886629502249e-27
7, 4, 3, 0, -0.08927114787465554
7, 4, 4, 0, 1.13801245417782e-17
8, 0, 1, 0, -1.362226142355733e-26
8, 0, 2, 0, 3.720981781406725e-27
8, 0, 3, 0, -0.12185298427408393
8, 0, 4, 0, 2.0071410279879514e-17
8, 1, 1, 0, -1.362226142355733e-26
8, 1, 2, 0, 3.720981781406725e-27
8, 1, 3, 0, -0.12185298427408393
8, 1, 4, 0, 2.0071410279879514e-17
8, 2, 1, 0, -1.362226142355733e-26
8, 2, 2, 0, 3.720981781406725e-27
8, 2, 3, 0, -0.12185298427408393
8, 2, 4, 0, 2.0071410279879514e-17
8, 3, 1, 0, -1.362226142355733e-26
8, 3, 2, 0, 3.720981781406725e-27
8, 3, 3, 0, -0.12185298427408393
